ITEM NO.,PART NUMBER,REVISION,DESCRIPTION,DOCUMENTTYPE,MATERIAL,PROCESS,THICKNESS,FINISH,COLOR,VENDOR,VPN,QTY.
4.3.3.3,      VX~99-00117,,"M3X0.5PX5L, FHCS, 90°, BLACK OXIDE STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,BLACK OXIDE,BLACK,MCMASTER-CARR,,1
4.3.3.4,      VX~99-00119,,"M3X0.5PX10L, FHCS, 90°, BLACK-OXIDE STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,BLACK OXIDE,BLACK,MCMASTER-CARR,,2
4.3.3.5,      VX~99-00131,,"WASHER, M3, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,,1
4.3.3.6,      VX~99-00107,,"NUT, M3X0.5P, NYLOCK, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,,1
4.3.4,    MEANWELL~LRS-75-12,,"12V, 75W POWER SUPPLY",PURCHASED PART,5052-O,COTS,THICKNESS,NONE / AS FABRICATED,,MEANWELL,LRS-75-12,1
4.3.5,    FUJITSU~FTP-62EDSL201-R,,FUJITSU PRINTER CONTROLLER BOARD -- UPDATED,PURCHASED PART,MATERIAL <NOT SPECIFIED>,COTS,THICKNESS,NONE / AS FABRICATED,,FCL COMPONENTS,FTP-62EDSL201-R,1
4.3.6,    VX~99-00105,,"HINGE, SCREW ON, 1-1/2""H X 13/16""W LEAF, NYLON",PURCHASED PART,ACETAL,COTS,XXX,NONE / AS FABRICATED,NONE,MCMASTER-CARR,1635A101,2
4.3.7,    VX~99-00120,,"M3X0.5PX5L, BHCS, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,91306A655,8
4.3.8,    VX~99-00131,,"WASHER, M3, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,,5
4.3.9,    VX~99-00116,,"M3X0.5PX18L, FHCS, 90°, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,,4
4.3.10,    ESSENTRA~WSLC-6-01,A,"CABLE CLIP, WIRE SADLE, HINGED TOP LOCK, 3.51MM HOLE",PURCHASED PART,NYLON 101,HARDWARE,THICKNESS,NONE / AS FABRICATED,WHITE,ESSENTRA COMPONENTS,WSLC-6-0-1,2
4.3.11,    VX~99-00107,,"NUT, M3X0.5P, NYLOCK, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,,5
4.3.12,    VX~99-00111,,"WASHER, OVERSIZED, M3, 9MM OD, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC PLATED,RAW,MCMASTER-CARR,,4
4.3.13,    VX~99-00119,,"M3X0.5PX10L, FHCS, 90°, BLACK-OXIDE STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,BLACK OXIDE,BLACK,MCMASTER-CARR,,4
4.3.14,    VX~02-00079,A,"CABLE, SBC POWER, 12V",MANUFACTURED PART,,,XXX,OTHER - SEE NOTES,SEE NOTES,DDH ENTERPRISE INC,,1
4.3.14.1,      VX~02-00079,A,12 VDC POWER CABLE,MANUFACTURED PART,MATERIAL <NOT SPECIFIED>,,THICKNESS,NONE / AS FABRICATED,SEE NOTES,DDH ENTERPRISE INC,,1
4.3.15,    VX~02-00083,C,"CABLE, PRINTER PANEL GROUND STRAP",MANUFACTURED PART,SEE NOTES,,XXX,NONE / AS FABRICATED,SEE NOTES,DDH ENTERPRISE INC,,1
4.3.15.1,      VX~02-00083,A,"CABLE, PRINTER PANEL GROUND STRAP",MANUFACTURED PART,MATERIAL <NOT SPECIFIED>,,THICKNESS,NONE / AS FABRICATED,SEE NOTES,DDH ENTERPRISE INC,,1
4.4,  VX~01-00087,A,"ASSEMBLY, SUBFRAME, USB LATCH CARD",MULTI PART ASSEMBLY,SEE BOM,ASSEMBLY,XXX,NONE / AS FABRICATED,SEE BOM,,,1
4.4.1,    VX~01-00003,A,"ASSEMBLY, SUBPANEL BRACKET, LEFT WITH CARD READER",MULTI PART ASSEMBLY,,ASSEMBLY,XXX,NONE / AS FABRICATED,,,,1
4.4.1.1,      VX~02-00028,A,"SUBPANEL BRACKET, LEFT, EXTERIOR",EMBEDDED HARDWARE ASSEMBLY,5052-H32,SHEET METAL,XXX,"CHEM FILM / 
CONVERSION COATING",RAW,EVANS MANUFACTURING COMPANY,,1
4.4.1.1.1,        VX~99-00147,,"M3X0.5P, NUT, SELF-CLINCHING","EMBEDDED COMPONENT -- NON-
BOM",AISI TYPE 316L STAINLESS STEEL,"EMBEDDED 
COMPONENT",THICKNESS,NONE,NONE,PENNENGINEERING,S-M3-2ZI,4
4.4.1.2,      VX~02-00029,B,CARD READER MOUNT WITH BRASS INSERTS,EMBEDDED HARDWARE ASSEMBLY,SEE NOTES,INJECTION MOLD,SEE NOTES,OTHER - SEE NOTES,SEE NOTES,RAPID AXIS LLC,,1
4.4.1.3,      VX~02-00080,B,"CABLE, SBC TO CARD READER AND PRINTER",MANUFACTURED PART,SEE NOTES,,XXX,NONE / AS FABRICATED,SEE NOTES,DDH ENTERPRISE INC,,1
4.4.1.4,      HID~R31210375-1,,HID OK 3121 READER BOARD (AVR) EXT CABLE (180CM) ,PURCHASED PART,MATERIAL <NOT SPECIFIED>,COTS,THICKNESS,NONE / AS FABRICATED,,HID OMNIKEY,R31210375-1,1
4.4.1.5,      VX~99-00121,,"M3X0.5PX8L, BHCS, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC PLATED,NONE,MCMASTER-CARR,,4
4.4.1.6,      VX~99-00131,,"WASHER, M3, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,,4
4.4.1.7,      ESSENTRA~WSLC-6-01,A,"CABLE CLIP, WIRE SADLE, HINGED TOP LOCK, 3.51MM HOLE",PURCHASED PART,NYLON 101,HARDWARE,THICKNESS,NONE / AS FABRICATED,WHITE,ESSENTRA COMPONENTS,WSLC-6-0-1,1
4.4.2,    VX~01-00005,A,"ASSEMBLY, SUBPANEL BRACKET, LEFT WITH LATCH",MULTI PART ASSEMBLY,,ASSEMBLY,XXX,NONE / AS FABRICATED,,,,1
4.4.2.1,      VX~02-00027,D,"SUBPANEL BRACKET, LEFT, INTERIOR",EMBEDDED HARDWARE ASSEMBLY,5052 H32,SHEET METAL,XXX,OTHER - SEE NOTES,SEE NOTES,EVANS MANUFACTURING COMPANY,,1
4.4.2.1.1,        VX~99-00147,,"M3X0.5P, NUT, SELF-CLINCHING","EMBEDDED COMPONENT -- NON-
BOM",AISI TYPE 316L STAINLESS STEEL,"EMBEDDED 
COMPONENT",THICKNESS,NONE,NONE,PENNENGINEERING,S-M3-2ZI,6
4.4.2.1.2,        VX~99-00138,,"M3X0.5PX10L, THREADED STANDOFF","EMBEDDED COMPONENT -- NON-
BOM",PLAIN CARBON STEEL,"EMBEDDED 
COMPONENT",THICKNESS,NONE,NONE,PENNENGINEERING,,2
4.4.2.1.3,        VX~99-00139,,"M3X0.5PX6L, THREADED STANDOFF","EMBEDDED COMPONENT -- NON-
BOM",PLAIN CARBON STEEL,"EMBEDDED 
COMPONENT",THICKNESS,NONE,NONE,PENNENGINEERING,,4
4.4.2.2,      VX~02-00021,B,LATCH ARM,MANUFACTURED PART,POLYCARBONATE,INJECTION MOLD,THICKNESS,SEE NOTES,SEE NOTES,RAPID AXIS LLC,,1
4.4.2.3,      COOLGEAR~CG-3510S4,,COOLGEAR USB3.1 4-PORT HUB,PURCHASED PART,MATERIAL <NOT SPECIFIED>,COTS,THICKNESS,NONE / AS FABRICATED,,COOLGEAR INC.,CG-3510S4,1
4.4.2.4,      VX~99-00165,,"SPRING, COMPRESSION, 1.25""L, 0.36"" OD, 0.278"" ID, 13.95LB/IN",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,,,MCMASTER-CARR,,1
4.4.2.5,      VX~99-00111,,"WASHER, OVERSIZED, M3, 9MM OD, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC PLATED,RAW,MCMASTER-CARR,,2
4.4.2.6,      VX~99-00121,,"M3X0.5PX8L, BHCS, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC PLATED,NONE,MCMASTER-CARR,,2
4.4.2.7,      VX~99-00120,,"M3X0.5PX5L, BHCS, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,91306A655,4
4.4.3,    VX~01-00007,A,"ASSEMBLY, PANEL, POLLWORKER WITH BOLT",MULTI PART ASSEMBLY,,ASSEMBLY,XXX,NONE / AS FABRICATED,NONE,,,1
4.4.3.1,      VX~02-00031,D,POLLWORKER PANEL WITH PEMS,EMBEDDED HARDWARE ASSEMBLY,5052-H32,SHEET METAL,XXX,OTHER - SEE NOTES,SEE NOTES,EVANS MANUFACTURING COMPANY,,1
4.4.3.1.1,        VX~99-00148,,"M4X0.7P, NUT, SELF-CLINCHING","EMBEDDED COMPONENT -- NON-
BOM",AISI TYPE 316L STAINLESS STEEL,"EMBEDDED 
COMPONENT",THICKNESS,NONE,NONE,PENNENGINEERING,,4
4.4.3.1.2,        VX~99-00147,,"M3X0.5P, NUT, SELF-CLINCHING","EMBEDDED COMPONENT -- NON-
BOM",AISI TYPE 316L STAINLESS STEEL,"EMBEDDED 
COMPONENT",THICKNESS,NONE,NONE,PENNENGINEERING,S-M3-2ZI,2
4.4.3.2,      VX~01-00103,X01,USB BULKHEAD ASSEMBLY,MULTI PART ASSEMBLY,N/A,ASSEMBLY,N/A,NONE / AS FABRICATED,N/A,,,1
4.4.3.2.1,        VX~02-00098,X01,USB BACKER BRACKET WITH PEMS,EMBEDDED HARDWARE ASSEMBLY,5052-H32,SHEET METAL,1.6,"CHEM FILM / 
CONVERSION COATING",RAW,EVANS MANUFACTURING COMPANY,,1
4.4.3.2.1.1,          VX~99-00147,,"M3X0.5P, NUT, SELF-CLINCHING","EMBEDDED COMPONENT -- NON-
BOM",AISI TYPE 316L STAINLESS STEEL,"EMBEDDED 
COMPONENT",THICKNESS,NONE,NONE,PENNENGINEERING,S-M3-2ZI,8
4.4.3.2.2,"        L-COM~ECF504-30-
03AAS",,"USB 3.0 TYPE A COUPLER, FEMALE BLKHD/MALE, 0.3M",PURCHASED PART,SEE NOTES,COTS,XXX,NONE / AS FABRICATED,SEE NOTES,L-COM,ECF504-30-03AAS,2
4.4.3.2.3,        VX~99-00121,,"M3X0.5PX8L, BHCS, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC PLATED,NONE,MCMASTER-CARR,,4
4.4.3.3,      VX~02-00048,B,DISPLAY CABLE GUIDE,MANUFACTURED PART,POLYCARBONATE,INJECTION MOLD,THICKNESS,SEE NOTES,SEE NOTES,RAPID AXIS LLC,,1
4.4.3.4,      VX~02-00032,B,"BRACKET, SLIDE BOLT",MANUFACTURED PART,5052-H32,SHEET METAL,THICKNESS,NONE / AS FABRICATED,RAW,EVANS MANUFACTURING COMPANY,,1
4.4.3.5,      VX~02-00033,A,SLIDE BOLT,MANUFACTURED PART,AISI TYPE 316L STAINLESS STEEL,,THICKNESS,NONE / AS FABRICATED,RAW,RAPID AXIS LLC,,1
4.4.3.6,      VX~02-00034,B,SLIDE BOLT SHROUD,MANUFACTURED PART,POLYCARBONATE,INJECTION MOLD,SEE NOTES,SEE NOTES,SEE NOTES,RAPID AXIS LLC,,1
4.4.3.7,      VX~02-00102,X01,SBC AUDIO JACK COVER,MANUFACTURED PART,ABS PC,UNRELEASED,THICKNESS,OTHER - SEE NOTES,SEE NOTES,,,1
4.4.3.8,      VX~99-00120,,"M3X0.5PX5L, BHCS, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,91306A655,1
4.4.3.9,      VX~99-00131,,"WASHER, M3, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,,1
4.4.3.10,      VX~99-00129,,"SPRING, COMPRESSION, 1.25"", 5.7LB ",PURCHASED PART,AISI TYPE 316L STAINLESS STEEL,HARDWARE,THICKNESS,NONE / AS FABRICATED,,MCMASTER-CARR,,1
4.4.3.11,      VX~99-00130,,"RETAINING RING, FOR 3/8"" OD, BLACK-PHOSPHATE STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,BLACK OXIDE,BLACK,MCMASTER-CARR,,1
4.4.3.12,      VX~99-00121,,"M3X0.5PX8L, BHCS, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC PLATED,NONE,MCMASTER-CARR,,1
4.4.3.13,      VX~99-00111,,"WASHER, OVERSIZED, M3, 9MM OD, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC PLATED,RAW,MCMASTER-CARR,,1
4.4.3.14,      VX~99-00117,,"M3X0.5PX5L, FHCS, 90°, BLACK OXIDE STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,BLACK OXIDE,BLACK,MCMASTER-CARR,,4
4.4.4,    VX~99-00106,,"M4X0.7PX6L, SHCS, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC PLATED,NONE,MCMASTER-CARR,,4
4.4.5,    VX~99-00113,,"WASHER, M4, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,RAW,MCMASTER-CARR,,4
4.4.6,"    P.I.ENGINEERING~XK-1283-
UJS3-R",,USB 3 SWITCH INTERFACE,PURCHASED PART,MATERIAL <NOT SPECIFIED>,COTS,THICKNESS,,,P.I. ENGINEERING,XK-12-83-UJS3-R,1
4.4.7,"    MYCABLEMART~FE-
3MMPM-01MF",,1.5FT 3.5mm MINI-STEREO TRS MALE TO FEMALE PANEL-MOUNT EXTENSION CABLE,PURCHASED PART,MATERIAL <NOT SPECIFIED>,COTS,THICKNESS,NONE / AS FABRICATED,,MY CABLE MART,FE-3MMPM-01MF,1
4.5,  VX~01-00008,A,"ASSEMBLY, SBC WITH BRACKET",MULTI PART ASSEMBLY,SEE BOM,,,SEE BOM,SEE BOM,,,1
4.5.1,    VX~01-00017,A,"ASSEMBLY, MOUNTING BRACKET, SBC",MULTI PART ASSEMBLY,SEE BOM,,,SEE BOM,SEE BOM,,,1
4.5.1.1,      VX~02-00023,D,"MOUNTING PLATE, SBC WITH PEMS",EMBEDDED HARDWARE ASSEMBLY,5052-H32,SHEET METAL,XXX,"CHEM FILM / 
CONVERSION COATING",RAW,EVANS MANUFACTURING COMPANY,,1
4.5.1.1.1,        VX~99-00151,,"M2.5X0.45PX14L, THREADED STANDOFF",PURCHASED PART,AISI TYPE 316L STAINLESS STEEL,HARDWARE,THICKNESS,NONE,NONE,PENNENGINEERING,,2
4.5.1.1.2,        VX~99-00173,,"FLUSH-MOUNT PRESS-FIT NUT FOR SHEET METAL, M2 X 0.4 mm THREAD SIZE, FOR 1.53 mm MINIMUM PANEL THICKNESS 
(MCMASTER PN 94674A611, PEM PN F-M2-1)","EMBEDDED COMPONENT -- NON-
BOM",AISI TYPE 316L STAINLESS STEEL,"EMBEDDED 
COMPONENT",THICKNESS,NONE / AS FABRICATED,SEE NOTES,PENNENGINEERING,,1
4.5.2,"    AAEON~UPN-ADLN97-A10-
0864",,AAEON UP 7000 SQUARED PRO SBC,PURCHASED PART,MATERIAL <NOT SPECIFIED>,COTS,THICKNESS,,,AAEON,"UPN-ADLN97-A10-
0864",1
4.5.3,"    ADATA~IM2P32A8-
128GCTB5",,"SOLID STATE DRIVE, 128GB NVME M.2, 3.3V",PURCHASED PART,MATERIAL <NOT SPECIFIED>,COTS,THICKNESS,,,ADATA,"IM2P32A8-
128GCTB5",1
4.5.4,    VX~99-00169,,"GENERAL PURPOSE ZINC-PLATED STEEL WASHER UNDERSIZED, FOR M2.5 SCREW SIZE, 2.7 mm ID, 5.0 mm OD",PURCHASED PART,ALLOY STEEL,HARDWARE,THICKNESS,ZINC PLATED,,MCMASTER-CARR,,6
4.5.5,    VX~99-00168,,"BUTTON HEAD HEX DRIVE SCREW, BLACK-OXIDE ALLOY STEEL, M2.5 X 0.45 mm THREAD, 5 mm LONG",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,BLACK OXIDE,SEE NOTES,MCMASTER-CARR,,4
4.5.6,    VX~99-00124,,"M2.5X0.45PX12L, HEX STANDOFF, MALE-FEMALE, ZINC-PLATED BRASS",PURCHASED PART,BRASS,HARDWARE,THICKNESS,NONE,NONE,MCMASTER-CARR,,2
4.5.7,    ESSENTRA~WSLC-6-01,A,"CABLE CLIP, WIRE SADLE, HINGED TOP LOCK, 3.51MM HOLE",PURCHASED PART,NYLON 101,HARDWARE,THICKNESS,NONE / AS FABRICATED,WHITE,ESSENTRA COMPONENTS,WSLC-6-0-1,1
4.5.8,    ESSENTRA-MBHWSSE-1-01,A,"CABLE CLIP, WIRE SADLE, SIDE ENTRY, 3.96MM HOLE",PROCESS CONSUMABLE,POM ACETAL COPOLYMER,HARDWARE,THICKNESS,NONE / AS FABRICATED,WHITE,ESSENTRA COMPONENTS,MBHWSSE-1-01,1
4.6,  VX~02-00036,B,"BALLOT REDIRECTOR, FRONT",EMBEDDED HARDWARE ASSEMBLY,SEE NOTES,INJECTION MOLD,SEE NOTES,OTHER - SEE NOTES,SEE NOTES,RAPID AXIS LLC,,1
4.6.1,    VX~99-00144,,"M4X0.7PX5.5L, HEAT-SET THREADED INSERT","EMBEDDED COMPONENT -- NON-
BOM",BRASS,"EMBEDDED 
COMPONENT",THICKNESS,NONE,NONE,MCMASTER-CARR,94180A351,2
4.7,  VX~01-00010,A,"ASSEMBLY, PRINTER WITH BRACKET AND REDIRECTOR",MULTI PART ASSEMBLY,,ASSEMBLY,XXX,NONE / AS FABRICATED,,,,1
4.7.1,    VX~02-00035,B,"BALLOT REDIRECTOR, REAR WITH INSERTS",EMBEDDED HARDWARE ASSEMBLY,SEE NOTES,INJECTION MOLD,XXX,OTHER - SEE NOTES,SEE NOTES,RAPID AXIS LLC,,1
4.7.1.1,      VX~99-00142,,"M3X0.5PX5.7L, HEAT-SET THREADED INSERT","EMBEDDED COMPONENT -- NON-
BOM",BRASS,"EMBEDDED 
COMPONENT",THICKNESS,NONE / AS FABRICATED,NONE,MCMASTER-CARR,,3
4.7.2,    VX~02-00037,A,"BRACKET, PRINTER WITH PEMS",EMBEDDED HARDWARE ASSEMBLY,5052-H32,SHEET METAL,XXX,"CHEM FILM / 
CONVERSION COATING",RAW,EVANS MANUFACTURING COMPANY,,1
4.7.2.1,      VX~99-00147,,"M3X0.5P, NUT, SELF-CLINCHING","EMBEDDED COMPONENT -- NON-
BOM",AISI TYPE 316L STAINLESS STEEL,"EMBEDDED 
COMPONENT",THICKNESS,NONE,NONE,PENNENGINEERING,S-M3-2ZI,3
4.7.2.2,      VX~99-00148,,"M4X0.7P, NUT, SELF-CLINCHING","EMBEDDED COMPONENT -- NON-
BOM",AISI TYPE 316L STAINLESS STEEL,"EMBEDDED 
COMPONENT",THICKNESS,NONE,NONE,PENNENGINEERING,,4
4.7.3,    VX~02-00084,B,"PADDLE, PLATEN RELEASE",MANUFACTURED PART,PC HIGH VISCOSITY,INJECTION MOLD,THICKNESS,OTHER - SEE NOTES,SEE NOTES,RAPID AXIS LLC,,1
4.7.4,"    FUJITSU~FTP-68EMCL112-
R",,"8-INCH THERMAL PRINTER MECHANISM (HIGH SPEED, LOWER TORQUE, WITH LEVER CAP AND MARK DETECTION) -- HEAD 
CAD ONLY",PURCHASED PART,MATERIAL <NOT SPECIFIED>,COTS,THICKNESS,,,FCL COMPONENTS,FTP-68EMCL112-R,1
4.7.5,    VX~99-00131,,"WASHER, M3, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,,3
4.7.6,    VX~99-00121,,"M3X0.5PX8L, BHCS, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC PLATED,NONE,MCMASTER-CARR,,3
4.7.7,    VX~99-00118,,"M3X0.5PX8L, FHCS, 90°, BLACK-OXIDE STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,BLACK-OXIDE,BLACK,MCMASTER-CARR,,5
4.7.8,    VX~02-00081,A,"CABLE, THERMAL PRINTER, 34-POS",MANUFACTURED PART,SEE BOM,,XXX,NONE / AS FABRICATED,SEE NOTES,DDH ENTERPRISE INC,,1
4.8,  VX~01-00009,B,"ASSEMBLY, SCANNER WITH BRACKET AND INFEED",MULTI PART ASSEMBLY,SEE BOM,,,SEE BOM,SEE BOM,,,1
4.8.1,    VX~01-00179,,ASSEMBLY PDI SCANNER -- AS DELIVERED,MULTI PART ASSEMBLY,MATERIAL <NOT SPECIFIED>,ASSEMBLY,XXX,NONE / AS FABRICATED,,,,1
4.8.1.1,      PDI~PS6,,PDI PAGESCAN 6 DOCUMENT SCANNER,PURCHASED PART,SEE NOTES,COTS,XXX,NONE / AS FABRICATED,SEE NOTES,PERIPHERAL DYNAMICS INC. (PDI),PS6,1
4.8.1.2,"      L-COM~CAABLK-90RB-
05M",A,"CABLE, USB 2.0 A TO B, 0.5M",PURCHASED PART,MATERIAL <NOT SPECIFIED>,COTS,THICKNESS,NONE / AS FABRICATED,BLACK,L-COM,CAABLK-90RB-05M,1
4.8.1.3,      VX~02-00073,A,"CABLE, SCANNER GROUND",MULTI PART ASSEMBLY,SEE BOM,,,SEE BOM,SEE BOM,,,1
4.8.1.3.1,        VX~02-00073,A,CABLE PS6 GROUND STRAP ,MANUFACTURED PART,MATERIAL <NOT SPECIFIED>,,THICKNESS,NONE / AS FABRICATED,SEE NOTES,DDH ENTERPRISE INC,,1
4.8.1.4,      VX~02-00077,B,"CABLE, SCANNER POWER, 24V",MULTI PART ASSEMBLY,SEE BOM,,,SEE BOM,SEE BOM,,,1
4.8.1.4.1,        VX~02-00077,A,CABLE PS6 POWER,MANUFACTURED PART,MATERIAL <NOT SPECIFIED>,,THICKNESS,NONE / AS FABRICATED,SEE NOTES,DDH ENTERPRISE INC,,1
4.8.2,    VX~02-00040,B,"INFEED TRAY, TOP",MANUFACTURED PART,POLYCARBONATE,INJECTION MOLD,THICKNESS,SEE NOTES,SEE NOTES,RAPID AXIS LLC,,1
4.8.3,    VX~02-00041,C,"MOUNT, TOP INFEED TRAY WITH INSERTS",EMBEDDED HARDWARE ASSEMBLY,SEE NOTES,INJECTION MOLD,XXX,OTHER - SEE NOTES,SEE NOTES,RAPID AXIS LLC,,2
4.8.3.1,      VX~99-00153,,"M3X0.5PX5.7L, FLANGED HEAT-SET INSERT","EMBEDDED COMPONENT -- NON-
BOM",BRASS,"EMBEDDED 
COMPONENT",THICKNESS,NONE,NONE,MCMASTER-CARR,,2
4.8.4,    VX~02-00095,A,"RETENTION INSERT, USB-B-RIGHT ANGLE",MANUFACTURED PART,PC HIGH VISCOSITY,INJECTION MOLD,THICKNESS,SEE NOTES,SEE NOTES,RAPID AXIS LLC,,1
4.8.5,    VX~02-00094,B,SCANNER FRONT TAB BRACKET,EMBEDDED HARDWARE ASSEMBLY,5052-H32,SHEET METAL,XXX,NONE / AS FABRICATED,RAW,EVANS MANUFACTURING COMPANY,,1
4.8.5.1,      VX~99-00147,,"M3X0.5P, NUT, SELF-CLINCHING","EMBEDDED COMPONENT -- NON-
BOM",AISI TYPE 316L STAINLESS STEEL,"EMBEDDED 
COMPONENT",THICKNESS,NONE,NONE,PENNENGINEERING,S-M3-2ZI,2
4.8.5.2,      VX~99-00148,,"M4X0.7P, NUT, SELF-CLINCHING","EMBEDDED COMPONENT -- NON-
BOM",AISI TYPE 316L STAINLESS STEEL,"EMBEDDED 
COMPONENT",THICKNESS,NONE,NONE,PENNENGINEERING,,1
4.8.6,    VX~99-00111,,"WASHER, OVERSIZED, M3, 9MM OD, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC PLATED,RAW,MCMASTER-CARR,,4
4.8.7,    VX~99-00108,,"M3X0.5PX16L, SHCS, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,,4
4.8.8,    VX~99-00110,,"M4X0.7PX10L, SHCS, LOW-PROFILE, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,,1
4.8.9,    VX~99-00113,,"WASHER, M4, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,RAW,MCMASTER-CARR,,1
4.8.10,    VX~99-00121,,"M3X0.5PX8L, BHCS, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC PLATED,NONE,MCMASTER-CARR,,2
4.8.11,    VX~99-00131,,"WASHER, M3, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,,2
4.9,  VX~02-00055,B,"LOCKOUT, BACK",MANUFACTURED PART,ABS PC,INJECTION MOLD,THICKNESS,SEE NOTES,SEE NOTES,RAPID AXIS LLC,,1
4.1,  VX~99-00113,,"WASHER, M4, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,RAW,MCMASTER-CARR,,22
4.11,  VX~99-00106,,"M4X0.7PX6L, SHCS, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC PLATED,NONE,MCMASTER-CARR,,17
4.12,  VX~99-00110,,"M4X0.7PX10L, SHCS, LOW-PROFILE, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,,6
4.13,  VX~99-00121,,"M3X0.5PX8L, BHCS, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC PLATED,NONE,MCMASTER-CARR,,3
4.14,  VX~99-00111,,"WASHER, OVERSIZED, M3, 9MM OD, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC PLATED,RAW,MCMASTER-CARR,,2
4.15,  VX~99-00131,,"WASHER, M3, ZINC-PLATED STEEL",PURCHASED PART,PLAIN CARBON STEEL,HARDWARE,THICKNESS,ZINC-PLATED,NONE,MCMASTER-CARR,,2
